"Consider the binary relation R = {(x, y), (x, z), (z, x), (z, y)} on the set {x, y, z}. Which one of the following is TRUE?",R is symmetric but NOT antisymmetric,R is NOT symmetric but antisymmetric, R is both symmetric and antisymmetric,R is neither symmetric nor antisymmetric,d
Let S be a set of nelements. The number of ordered pairs in the largest and the smallest equivalence relations on S are:,n and n,n2 and n,n2 and 0,n and 1,b
How many different non-isomorphic Abelian groups of order 4 are there,2,3,4,5,a
"The set {1, 2, 3, 5, 7, 8, 9} under multiplication modulo 10 is not a group. Given below are four plausible reasons. Which one of them is false?",It is not closed,2 does not have an inverse,3 does not have an inverse,8 does not have an inverse,c
"The product of the non-zero eigenvalues of the matrix
1 0 0 0 1
0 1 1 1 0
0 1 1 1 0
0 1 1 1 0
1 0 0 0 1
is ______",4,5,6,7,c
Which one of the following statements is TRUE about every,"If the trace of the matrix is positive and the determinant of the matrix is negative, at least one of its eigenvalues is negative"," If the trace of the matrix is positive, all its eigenvalues are positive","If the determinant of the matrix is positive, all its eigenvalues are positive","If the product of the trace and determinant of the matrix is positive, all its eigenvalues are positive",a
"Consider the following system of equations in three real variables xl, x2 and x3 2x1 - x2 + 3x3 = 1 3x1- 2x2 + 5x3 = 2 -x1 + 4x2 + x3 = 3 This system of equations has",no solution,a unique solution,more than one but a finite number of solutions,an infinite number of solutions,b
"Consider the function f(x) = sin(x) in the interval [?/4, 7?/4]. The number and location(s) of the local minima of this function are","One, at ?/2","One, at 3?/2","Two, at ?/2 and 3?/2","Two, at ?/4 and 3?/2",d
"The bisection method is applied to compute a zero of the function f(x) = x4 – x3 – x2 – 4 in the interval [1,9]. The method converges to a solution after ––––– iterations",1,3,5,7,b
Newton-Raphson method is used to compute a root of the equation x2-13=0 with 3.5 as the initial value. The approximation after one iteration is,3.575,3.676,3.667,3.607,d
